"name_cancensus","share_wl","longitude","latitude","share_wl_pct","exposed","exposure_label"
"Corner Brook",0,-57.7449051527685,48.9845394953337,0,0,"Non-exposed"
"Grand Falls-Windsor",0,-55.6611442656418,48.9579414648335,0,0,"Non-exposed"
"St. John's",0,-52.8593772768907,47.4997592783331,0,0,"Non-exposed"
"Charlottetown",0.00160771704180064,-63.1380958689792,46.3191201033188,0.16,1,"Exposed"
"Summerside",0,-63.8523254730127,46.4432987951296,0,0,"Non-exposed"
"Cape Breton",0,-60.2644289676435,46.0108769441961,0,0,"Non-exposed"
"Halifax",0.00160771704180064,-63.2810681545185,44.9241041378448,0.16,1,"Exposed"
"Kentville",0,-64.486149292288,45.088037333851,0,0,"Non-exposed"
"New Glasgow",0,-62.5133961323414,45.4900050343556,0,0,"Non-exposed"
"Truro",0,-63.1938229837893,45.3910663739776,0,0,"Non-exposed"
"Bathurst",0,-65.8064760399089,47.5432173417129,0,0,"Non-exposed"
"Edmundston",0,-68.1727192768537,47.5112216990011,0,0,"Non-exposed"
"Fredericton",0,-66.7758993453874,46.0184986331791,0,0,"Non-exposed"
"Miramichi",0,-66.1398575286168,47.1126703772611,0,0,"Non-exposed"
"Moncton",0,-64.8581226740696,46.0143065028151,0,0,"Non-exposed"
"Saint John",0,-66.0091257283064,45.4052652390842,0,0,"Non-exposed"
"Alma",0,-71.6775926497689,48.5920759245463,0,0,"Non-exposed"
"Baie-Comeau",0,-68.3271592021637,49.200297595177,0,0,"Non-exposed"
"Cowansville",0,-72.7653939121271,45.2070482229095,0,0,"Non-exposed"
"Dolbeau-Mistassini",0,-72.1427119648326,48.8885083450985,0,0,"Non-exposed"
"Drummondville",0,-72.4614386535841,45.8664870693672,0,0,"Non-exposed"
"Granby",0,-72.7405849469557,45.3909090847757,0,0,"Non-exposed"
"Joliette",0,-73.4302850235585,46.0009059641056,0,0,"Non-exposed"
"Lachute",0,-74.2962789496262,45.6666945332365,0,0,"Non-exposed"
"Matane",0,-67.4249782025858,48.773373405821,0,0,"Non-exposed"
"Montréal",0,-73.7055245632815,45.5772063639908,0,0,"Non-exposed"
"Québec",0,-71.3410425801895,46.912149158972,0,0,"Non-exposed"
"Rivière-du-Loup",0,-69.4432113717279,47.8082262780291,0,0,"Non-exposed"
"Rouyn-Noranda",0,-78.8671430109027,48.1329998034317,0,0,"Non-exposed"
"Saint-Georges",0,-70.6416004582793,46.1027259558078,0,0,"Non-exposed"
"Saint-Hyacinthe",0,-72.9098753560866,45.621068380348,0,0,"Non-exposed"
"Sainte-Marie",0,-71.0037590492082,46.4424367345046,0,0,"Non-exposed"
"Saguenay",0,-71.0041562135074,48.4203229608352,0,0,"Non-exposed"
"Salaberry-de-Valleyfield",0,-74.0600432976221,45.2648939603587,0,0,"Non-exposed"
"Sept-Îles",0,-66.0437524628065,50.3423395978717,0,0,"Non-exposed"
"Shawinigan",0,-72.880863169561,46.7117221816119,0,0,"Non-exposed"
"Sherbrooke",0,-71.9430972246322,45.3904320407984,0,0,"Non-exposed"
"Sorel-Tracy",0,-73.0786928083827,45.998345165898,0,0,"Non-exposed"
"Thetford Mines",0,-71.3190144748943,46.0715623125389,0,0,"Non-exposed"
"Trois-Rivières",0,-72.5023585861509,46.3603077045496,0,0,"Non-exposed"
"Val-d'Or",0,-77.6615867121907,47.9785330200378,0,0,"Non-exposed"
"Victoriaville",0,-71.9336412747453,46.029508482118,0,0,"Non-exposed"
"Barrie",0,-79.7510919562559,44.4111268007493,0,0,"Non-exposed"
"Brantford",0.00160771704180064,-80.3078559749004,43.1255675992807,0.16,1,"Exposed"
"Brockville",0,-75.8613738903124,44.698910301993,0,0,"Non-exposed"
"Centre Wellington",0,-80.3870089339229,43.7155530052079,0,0,"Non-exposed"
"Chatham-Kent",0.00321543408360129,-82.1316582087691,42.4236757202562,0.32,1,"Exposed"
"Collingwood",0,-80.235597196036,44.4980503497224,0,0,"Non-exposed"
"Cornwall",0,-74.9149717063861,45.070688837167,0,0,"Non-exposed"
"Elliot Lake",0,-82.6314159406603,46.402510241764,0,0,"Non-exposed"
"Greater Sudbury",0,-80.9491699965242,46.5447837141219,0,0,"Non-exposed"
"Guelph",0,-80.2194605836071,43.5441076409379,0,0,"Non-exposed"
"Hamilton",0.00160771704180064,-79.9255685996544,43.2661250473775,0.16,1,"Exposed"
"Kawartha Lakes",0,-78.8177278219772,44.5181812213019,0,0,"Non-exposed"
"Kenora",0,-94.4400276544153,49.8196928376972,0,0,"Non-exposed"
"Kingston",0,-76.5420536175151,44.3888477158807,0,0,"Non-exposed"
